,class
ENSDART00000155791,1
ENSDART00000156282,1
ENSDART00000129752,1
ENSDART00000106374,1
ENSDART00000106606,1
ENSDART00000122729,1
ENSDART00000139597,1
ENSDART00000114336,1
ENSDART00000133510,1
ENSDART00000143155,1
ENSDART00000122186,1
ENSDART00000155675,1
ENSDART00000155083,1
ENSDART00000148320,1
ENSDART00000131725,1
ENSDART00000106529,1
ENSDART00000133809,1
ENSDART00000146096,1
ENSDART00000139797,1
ENSDART00000129021,1
ENSDART00000125968,1
ENSDART00000086031,1
ENSDART00000136231,1
ENSDART00000138048,1
ENSDART00000147444,1
ENSDART00000098822,1
ENSDART00000048994,1
ENSDART00000105204,1
ENSDART00000040126,1
ENSDART00000134804,1
ENSDART00000077160,1
ENSDART00000082297,1
ENSDART00000123228,1
ENSDART00000142916,1
ENSDART00000124090,1
ENSDART00000138507,1
ENSDART00000112696,1
ENSDART00000136224,1
ENSDART00000121757,1
ENSDART00000132713,1
ENSDART00000149831,1
ENSDART00000050861,1
ENSDART00000043638,1
ENSDART00000121621,1
ENSDART00000133052,1
ENSDART00000131700,1
ENSDART00000106663,1
ENSDART00000141791,1
ENSDART00000148048,1
ENSDART00000133148,1
ENSDART00000108851,1
ENSDART00000125813,1
ENSDART00000111052,1
ENSDART00000127015,1
ENSDART00000140956,1
ENSDART00000044301,1
ENSDART00000156291,1
ENSDART00000060603,1
ENSDART00000124308,1
ENSDART00000099616,1
ENSDART00000154350,1
ENSDART00000135765,1
ENSDART00000133111,1
ENSDART00000135069,1
ENSDART00000151197,1
ENSDART00000103563,1
ENSDART00000154280,1
ENSDART00000081929,1
ENSDART00000129820,1
ENSDART00000152703,1
ENSDART00000138093,1
ENSDART00000154887,1
ENSDART00000153166,1
ENSDART00000151842,1
ENSDART00000153407,1
ENSDART00000054850,1
ENSDART00000154282,1
ENSDART00000153048,1
ENSDART00000152068,1
ENSMUST00000098378,1
ENSMUST00000125685,1
ENSMUST00000107533,1
ENSMUST00000077153,1
ENSMUST00000184645,1
ENSMUST00000134620,1
ENSMUST00000181570,1
ENSMUST00000123048,1
ENSMUST00000130361,1
ENSMUST00000148314,1
ENSMUST00000143260,1
ENSMUST00000136749,1
ENSMUST00000181417,1
ENSMUST00000150540,1
ENSMUST00000127456,1
ENSMUST00000148435,1
ENSMUST00000162547,1
ENSMUST00000131357,1
ENSMUST00000098226,1
ENSMUST00000165732,1
ENSMUST00000182403,1
ENSMUST00000124230,1
ENSMUST00000152813,1
ENSMUST00000149090,1
ENSMUST00000177146,1
ENSMUST00000180308,1
ENSMUST00000090779,1
ENSMUST00000169635,1
ENSMUST00000163578,1
ENSMUST00000176095,1
ENSMUST00000129321,1
ENSMUST00000163245,1
ENSMUST00000168709,1
ENSMUST00000111461,1
ENSMUST00000077874,1
ENSMUST00000160679,1
ENSMUST00000159669,1
ENSMUST00000160528,1
ENSMUST00000161797,1
ENSMUST00000161121,1
ENSMUST00000015595,1
ENSMUST00000138288,1
ENSMUST00000176106,1
ENSMUST00000094769,1
ENSMUST00000006814,1
ENSMUST00000126664,1
ENSMUST00000136350,1
ENSMUST00000146393,1
ENSMUST00000169617,1
ENSMUST00000094710,1
ENSMUST00000113671,1
ENSMUST00000138593,1
ENSMUST00000150627,1
ENSMUST00000171743,1
ENSMUST00000167383,1
ENSMUST00000183317,1
ENSMUST00000172910,1
ENSMUST00000164057,1
ENSMUST00000146232,1
ENSMUST00000146119,1
ENSMUST00000136906,1
ENSMUST00000142188,1
ENSMUST00000112652,1
ENSMUST00000141004,1
ENSMUST00000162458,1
ENSMUST00000135643,1
ENSMUST00000124276,1
hg19_ct_UserTrack_3545_TCONS_00006125 range=chr3:88387591-88517304 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00012486 range=chr6:36686284-36690080 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00012852 range=chr7:141870970-141921088 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00014223 range=chr7:141907996-141922324 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00012861 range=chr7:141940557-141946886 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00014462 range=chr8:11197146-11225961 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016894 range=chr9:139144133-139148691 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016507 range=chr9:139144281-139147807 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016508 range=chr9:139147884-139166993 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016898 range=chr9:139150397-139166917 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016897 range=chr9:139150397-139166917 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016896 range=chr9:139150397-139166917 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016509 range=chr9:139150538-139166849 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016510 range=chr9:139150741-139159464 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00016901 range=chr9:139158251-139166849 5'pad=0 3'pad=0 strand=- repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00017151 range=chrX:36197474-36220007 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00017152 range=chrX:36197515-36223194 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00017675 range=chr10:47658234-47701446 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00018726 range=chr10:47679748-47696620 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
hg19_ct_UserTrack_3545_TCONS_00022970 range=chr14:38092102-38184001 5'pad=0 3'pad=0 strand=+ repeatMasking=none,1
FBgn0085505_FBtr0302349_lincRNA,1
FBgn0266428_FBtr0309282_lincRNA,1
FBgn0263455_FBtr0309311_lincRNA,1
FBgn0266376_FBtr0344174_lincRNA,1
FBgn0262097_FBtr0342943_lincRNA,1
FBgn0266069_FBtr0343396_lincRNA,1
FBgn0051912_FBtr0340166_lincRNA,1
FBgn0266577_FBtr0344725_lincRNA,1
FBgn0266577_FBtr0344724_lincRNA,1
FBgn0266350_FBtr0344076_lincRNA,1
FBgn0262967_FBtr0347239_lincRNA,1
FBgn0262967_FBtr0347240_lincRNA,1
FBgn0266376_FBtr0346132_lincRNA,1
FBgn0267601_FBtr0347047_lincRNA,1
FBgn0266694_FBtr0345083_lincRNA,1
FBgn0017424_FBtr0347179_lincRNA,1
FBgn0266694_FBtr0345082_lincRNA,1
ENSG00000197332_ENST00000344893_lincRNA,1
ENSG00000206532_ENST00000383686_lincRNA,1
ENSG00000225516_ENST00000423213_lincRNA,1
ENSG00000234810_ENST00000422374_lincRNA,1
ENSG00000244219_ENST00000431679_lincRNA,1
ENSG00000244219_ENST00000453227_lincRNA,1
ENSG00000254837_ENST00000526036_lincRNA,1
ENSG00000248874_ENST00000507936_lincRNA,1
ENSG00000233013_ENST00000540522_lincRNA,1
ENSG00000277147_ENST00000610578_lincRNA,1
ENSG00000276938_ENST00000612707_lincRNA,1
ENSG00000280709_ENST00000628444_lincRNA,1
ENSG00000267465_ENST00000592644_lincRNA,1
ENSG00000198106_ENST00000604430_lincRNA,1
ENSG00000231551_ENST00000634549_lincRNA,1
ENSG00000279998_ENST00000623678_lincRNA,1
ENSG00000267943_ENST00000596769_lincRNA,1
ENSG00000267104_ENST00000587125_lincRNA,1
ENSG00000274220_ENST00000621929_lincRNA,1
ENSG00000260411_ENST00000585867_lincRNA,1
ENSG00000280555_ENST00000629423_lincRNA,1
ENSG00000214900_ENST00000623502_lincRNA,1
ENSMUSG00000043795_ENSMUST00000054910_lincRNA,1
ENSMUSG00000047661_ENSMUST00000062159_lincRNA,1
ENSMUSG00000047383_ENSMUST00000054653_lincRNA,1
ENSMUSG00000071434_ENSMUST00000095874_lincRNA,1
ENSMUSG00000092576_ENSMUST00000173825_lincRNA,1
ENSMUSG00000055403_ENSMUST00000168837_lincRNA,1
ENSMUSG00000094991_ENSMUST00000179170_lincRNA,1
ENSMUSG00000103168_ENSMUST00000195683_lincRNA,1
ENSMUSG00000060149_ENSMUST00000190415_lincRNA,1
ENSMUSG00000102679_ENSMUST00000192871_lincRNA,1
ENSMUSG00000074146_ENSMUST00000187015_lincRNA,1
ENSMUSG00000073226_ENSMUST00000190891_lincRNA,1
ENSMUSG00000103464_ENSMUST00000194318_lincRNA,1
ENSMUSG00000100009_ENSMUST00000191042_lincRNA,1
ENSMUSG00000043903_ENSMUST00000187142_lincRNA,1
ENSMUSG00000108621_ENSMUST00000188038_lincRNA,1
ENSMUSG00000069925_ENSMUST00000212832_lincRNA,1
ENSMUSG00000109113_ENSMUST00000207903_lincRNA,1
ENSMUSG00000110393_ENSMUST00000209951_lincRNA,1
ENSMUSG00000106053_ENSMUST00000197341_lincRNA,1
ENSMUSG00000110631_ENSMUST00000212158_lincRNA,1
ENSMUSG00000110866_ENSMUST00000216055_lincRNA,1
ENSMUSG00000110631_ENSMUST00000212899_lincRNA,1
ENSMUSG00000108473_ENSMUST00000205294_lincRNA,1
ENSMUSG00000069925_ENSMUST00000212495_lincRNA,1
ENSMUSG00000110393_ENSMUST00000211729_lincRNA,1
ENSMUSG00000105501_ENSMUST00000200008_lincRNA,1
ENSMUSG00000069925_ENSMUST00000212453_lincRNA,1
ENSMUSG00000074887_ENSMUST00000205748_lincRNA,1
ENSMUSG00000111734_ENSMUST00000214237_lincRNA,1
ENSMUSG00000110051_ENSMUST00000211642_lincRNA,1
ENSMUSG00000110393_ENSMUST00000209344_lincRNA,1
ENSMUSG00000109113_ENSMUST00000207884_lincRNA,1
ENSMUSG00000110693_ENSMUST00000212196_lincRNA,1
ENSMUSG00000074887_ENSMUST00000206405_lincRNA,1
ENSMUSG00000106334_ENSMUST00000198856_lincRNA,1
ENSDARG00000086489_ENSDART00000124127_lincRNA,1
ENSDARG00000088362_ENSDART00000130328_lincRNA,1
ENSDARG00000093899_ENSDART00000132576_lincRNA,1
ENSDARG00000053570_ENSDART00000045018_lincRNA,1
ENSDARG00000044235_ENSDART00000007434_lincRNA,1
ENSDARG00000086877_ENSDART00000039465_lincRNA,1
ENSDARG00000053731_ENSDART00000075814_lincRNA,1
ENSDARG00000078270_ENSDART00000088325_lincRNA,1
ENSDARG00000041007_ENSDART00000129404_lincRNA,1
ENSDARG00000058700_ENSDART00000059613_lincRNA,1
ENSDARG00000079925_ENSDART00000109627_lincRNA,1
ENSDARG00000096991_ENSDART00000087449_lincRNA,1
ENSDARG00000068085_ENSDART00000098268_lincRNA,1
ENSDARG00000087306_ENSDART00000123546_lincRNA,1
ENSDARG00000088741_ENSDART00000123277_lincRNA,1
ENSDARG00000099099_ENSDART00000144687_lincRNA,1
ENSDARG00000091897_ENSDART00000145281_lincRNA,1
ENSDARG00000104200_ENSDART00000160090_lincRNA,1
ENSDARG00000086877_ENSDART00000158696_lincRNA,1
ENSDARG00000097712_ENSDART00000156294_lincRNA,1
ENSDARG00000096892_ENSDART00000165363_lincRNA,1
ENSDARG00000102795_ENSDART00000158564_lincRNA,1
ENSDARG00000096892_ENSDART00000162392_lincRNA,1
ENSDARG00000102240_ENSDART00000164345_lincRNA,1
ENSDARG00000099091_ENSDART00000163263_lincRNA,1
ENSDARG00000098095_ENSDART00000165523_lincRNA,1
ENSDARG00000102710_ENSDART00000165256_lincRNA,1
ENSDARG00000104200_ENSDART00000163765_lincRNA,1
ENSDARG00000104200_ENSDART00000158472_lincRNA,1
ENSDARG00000086877_ENSDART00000157657_lincRNA,1
ENSDARG00000078270_ENSDART00000158007_lincRNA,1
ENSDARG00000099189_ENSDART00000162825_lincRNA,1
ENSDARG00000105109_ENSDART00000161583_lincRNA,1
ENSDARG00000086877_ENSDART00000160829_lincRNA,1
ENSDARG00000054527_ENSDART00000172888_lincRNA,1
ENSDARG00000105800_ENSDART00000174027_lincRNA,1
ENSDARG00000098581_ENSDART00000167118_lincRNA,1
ENSDARG00000104600_ENSDART00000174224_lincRNA,1
ENSDARG00000103668_ENSDART00000171763_lincRNA,1
ENSDARG00000097864_ENSDART00000166481_lincRNA,1
ENSDARG00000097864_ENSDART00000169884_lincRNA,1
ENSDARG00000079332_ENSDART00000165599_lincRNA,1
ENSDARG00000105592_ENSDART00000173530_lincRNA,1
ENSDARG00000105312_ENSDART00000173084_lincRNA,1
ENSDARG00000094127_ENSDART00000165690_lincRNA,1
ENSDARG00000104600_ENSDART00000174365_lincRNA,1
ENSDARG00000086877_ENSDART00000171903_lincRNA,1
ENSDARG00000094396_ENSDART00000169452_lincRNA,1
ENSDARG00000103538_ENSDART00000165589_lincRNA,1
ENSDARG00000103179_ENSDART00000172265_lincRNA,1
ENSDARG00000102240_ENSDART00000168889_lincRNA,1
ENSDARG00000101682_ENSDART00000169839_lincRNA,1
ENSDARG00000098397_ENSDART00000168210_lincRNA,1
ENSDARG00000104600_ENSDART00000174374_lincRNA,1
ENSDART00000113832_ensembl:known_chromosome:GRCz10:1:19115504:19128258:1_gene:ENSDARG00000079250_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000130369_ensembl:known_chromosome:GRCz10:16:34346314:34352311:-1_gene:ENSDARG00000091368_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000161126_ensembl:known_chromosome:GRCz10:18:18719823:18720701:1_gene:ENSDARG00000093548_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000074261_ensembl:known_chromosome:GRCz10:5:57021762:57045045:-1_gene:ENSDARG00000052411_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000106705_ensembl_havana_transcript:known_chromosome:GRCz10:14:2204898:2295309:-1_gene:ENSDARG00000071905_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000169590_havana:known_chromosome:GRCz10:10:36258819:36402110:1_gene:ENSDARG00000103268_gene_biotype:antisense_transcript_biotype:antisense,1
ENSDART00000021168_ensembl:known_chromosome:GRCz10:2:21067741:21118869:1_gene:ENSDARG00000005593_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000165596_ensembl:known_chromosome:GRCz10:20:7337748:7360774:1_gene:ENSDARG00000076945_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000103971_ensembl:known_chromosome:GRCz10:16:12069405:12072957:-1_gene:ENSDARG00000073950_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000170456_ensembl:known_chromosome:GRCz10:21:5597476:5665690:1_gene:ENSDARG00000103627_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000169033_ensembl:known_chromosome:GRCz10:9:56663226:56705090:-1_gene:ENSDARG00000023188_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000076215_ensembl:known_chromosome:GRCz10:21:38409577:38410428:-1_gene:ENSDARG00000033089_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000168767_ensembl:known_chromosome:GRCz10:20:96058:128337:-1_gene:ENSDARG00000098046_gene_biotype:antisense_transcript_biotype:antisense,1
ENSDART00000161825_ensembl:known_chromosome:GRCz10:16:54811176:54816507:1_gene:ENSDARG00000104447_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000159619_ensembl:known_chromosome:GRCz10:4:72154440:72165976:-1_gene:ENSDARG00000094551_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000161936_ensembl:known_chromosome:GRCz10:22:2239450:2324132:1_gene:ENSDARG00000074868_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000125827_ensembl:known_chromosome:GRCz10:7:11372414:11423343:-1_gene:ENSDARG00000090696_gene_biotype:lincRNA_transcript_biotype:lincRNA,1
ENSDART00000130034_ensembl:known_chromosome:GRCz10:16:26498255:26506014:-1_gene:ENSDARG00000088497_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000057600_havana:known_chromosome:GRCz10:13:24454774:24457770:-1_gene:ENSDARG00000039423_gene_biotype:antisense_transcript_biotype:antisense,1
ENSDART00000170193_ensembl:known_chromosome:GRCz10:3:6474656:6487074:1_gene:ENSDARG00000103806_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000170716_ensembl:known_chromosome:GRCz10:3:1580666:1591474:-1_gene:ENSDARG00000104410_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000158467_ensembl:known_chromosome:GRCz10:8:3642371:3714625:-1_gene:ENSDARG00000074761_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000097920_ensembl:known_chromosome:GRCz10:3:6333963:6339908:-1_gene:ENSDARG00000089713_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000097863_ensembl:known_chromosome:GRCz10:16:52212434:52334068:1_gene:ENSDARG00000067912_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000124197_ensembl:known_chromosome:GRCz10:20:4078267:4089231:1_gene:ENSDARG00000088444_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000158008_ensembl:known_chromosome:GRCz10:8:42757447:42900799:1_gene:ENSDARG00000034229_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000125221_ensembl_havana_transcript:known_chromosome:GRCz10:11:35790748:35884864:1_gene:ENSDARG00000087939_gene_biotype:antisense_transcript_biotype:antisense,1
ENSDART00000123362_ensembl:known_chromosome:GRCz10:2:12193437:12194995:-1_gene:ENSDARG00000087979_gene_biotype:antisense_transcript_biotype:antisense,1
ENSDART00000123030_ensembl:known_chromosome:GRCz10:16:50036000:50055824:1_gene:ENSDARG00000087519_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000160027_ensembl:known_chromosome:GRCz10:18:18809774:18810598:1_gene:ENSDARG00000093635_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000019008_havana:putative_chromosome:GRCz10:11:42294576:42305486:1_gene:ENSDARG00000008473_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000158659_havana:known_chromosome:GRCz10:7:42018742:42022730:-1_gene:ENSDARG00000099047_gene_biotype:processed_transcript_transcript_biotype:lincRNA,1
ENSDART00000112798_ensembl:known_chromosome:GRCz10:3:2075782:2084613:1_gene:ENSDARG00000095292_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000170855_ensembl:known_chromosome:GRCz10:13:16130120:16147839:1_gene:ENSDARG00000057148_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000129820_ensembl:known_chromosome:GRCz10:22:38885003:38890231:-1_gene:ENSDARG00000070885_gene_biotype:antisense_transcript_biotype:antisense,1
ENSDART00000170796_ensembl:known_chromosome:GRCz10:2:3152163:3180676:1_gene:ENSDARG00000075339_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000171580_ensembl:known_chromosome:GRCz10:18:18838153:18839031:1_gene:ENSDARG00000092711_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000125365_ensembl_havana_transcript:known_chromosome:GRCz10:7:44254531:44259962:1_gene:ENSDARG00000088428_gene_biotype:lincRNA_transcript_biotype:lincRNA,1
ENSDART00000172379_havana:known_chromosome:GRCz10:10:21847391:21855197:1_gene:ENSDARG00000100806_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000169229_ensembl:known_chromosome:GRCz10:3:2401394:2402386:-1_gene:ENSDARG00000040200_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000172585_ensembl:known_chromosome:GRCz10:22:6541134:6674702:1_gene:ENSDARG00000095782_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000106663_ensembl:known_chromosome:GRCz10:14:8754132:8760600:1_gene:ENSDARG00000052609_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000114118_ensembl:known_chromosome:GRCz10:8:12413746:12631408:-1_gene:ENSDARG00000093851_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000159623_havana:known_chromosome:GRCz10:7:42013978:42015517:-1_gene:ENSDARG00000076897_gene_biotype:lincRNA_transcript_biotype:lincRNA,1
ENSDART00000080571_ensembl:known_chromosome:GRCz10:16:12069405:12070591:-1_gene:ENSDARG00000079769_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000162447_ensembl:known_chromosome:GRCz10:18:18744081:18744905:1_gene:ENSDARG00000087830_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000125017_ensembl:known_chromosome:GRCz10:22:29742705:29886831:-1_gene:ENSDARG00000092881_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000127510_ensembl:known_chromosome:GRCz10:2:16492320:16503678:1_gene:ENSDARG00000087277_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000167028_ensembl:known_chromosome:GRCz10:3:15547317:15553864:-1_gene:ENSDARG00000081299_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000025315_ensembl:known_chromosome:GRCz10:17:33254443:33256989:-1_gene:ENSDARG00000012581_gene_biotype:antisense_transcript_biotype:antisense,1
ENSDART00000158155_ensembl:known_chromosome:GRCz10:16:53753419:53759079:-1_gene:ENSDARG00000097042_gene_biotype:processed_transcript_transcript_biotype:processed_transcript,1
ENSDART00000166186_ensembl:known_chromosome:GRCz10:4:6733:52120:-1_gene:ENSDARG00000104632_gene_biotype:lincRNA_transcript_biotype:lincRNA,1
ENSDART00000134372_havana:known_chromosome:GRCz10:11:8570511:8573014:1_gene:ENSDARG00000095163_gene_biotype:sense_intronic_transcript_biotype:sense_intronic,1
